Group	Area	Name
所属组	所属区域	植物名
Normal	Plant	Wheat
Normal	Plant	Healroot
Normal	Plant	Mushroom
Normal	Plant	Cotton
Normal	Plant	Lotus
Normal	Plant	Raspberry
Normal	Plant	TreePear
Normal	Plant	TreeGinkgo
Normal	Plant	TreeGinkgo_Big
Normal	Plant	TreeGinkgo_Dead
Normal	Plant	TreePoplar
Normal	Plant	TreePine
Normal	Plant	Grass
Normal	Plant	LongGrass
Normal	Plant	IceFlower1
Normal	Plant	Flower1
Normal	Plant	Flower2
Normal	Plant	Flower3
Normal	Plant	Flower4
Normal	Plant	Flower5
Normal	Plant	IceGrass
Normal	Plant	Dandelion
Normal	Plant	Reed
Normal	DisciplePlant	Ginseng
Normal	DisciplePlant	GanodermaLucidum
Normal	DisciplePlant	Mint
Normal	DisciplePlant	MagicHerb
