ID	Name	Place	Once	Story	Auto	Begin	Duration	Interval	Desc	EndDesc	Hide
	名字	对应地点 多个用|隔开 获取时随机	只触发一次	对应的故事	自动触发	开始时间 天	持续时间 天	间隔 从触发开始算	描述	结束描述	隐藏触发 默认为0
3000	救尼莫	Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_D1	0		15		在15天之内救助在[TXT]尼莫受困于山谷之中无法行动。	任务失败了。	
3001	送信物	Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_D2	0		15		在15天之内将信物送于在[TXT]的线人。	任务失败了。	
3002	寻动物	Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_D3	0		15		在[TXT]的某位小孩丢失了他的宠物，赶紧去帮他找回来吧，在15天之内完成任务。	任务失败了。	
3003	挪山地	Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_D4	0		15		愚公在[TXT]不断的移山，快去帮助一下愚公吧，在15天之内完成任务。	任务失败了。	
3004	闹饥荒	Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_D5	0		15		在[TXT]时常闹饥荒，需要去拯救一下饥饿的凡人，在15天之内完成任务。	任务失败了。	
3005	除东海	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_C1	0		10		东海浪人在[TXT]四处烧杀抢掠，在10天之内完成任务。	任务失败了。	
3006	扫南蛮	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_C2	0		10		南蛮野人在[TXT]四处烧杀抢掠，在10天之内完成任务。	任务失败了。	
3007	清北夷	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_C3	0		10		北夷蛮人在[TXT]四处烧杀抢掠，在10天之内完成任务。	任务失败了。	
3008	祛西寇	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_C4	0		10		西方倭寇在[TXT]四处烧杀抢掠，在10天之内完成任务。	任务失败了。	
3009	寻秘籍	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_C5	0		10		在[TXT]出现了一本学院需要的秘籍，在10天之内完成任务。	任务失败了。	
3010	抓恶鬼	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_B1	0		7		在[TXT]出现了恶鬼小丽，她在不断得啃食人们的魂魄，速速去击杀该恶鬼，在7天之内完成任务。	任务失败了。	
3011	抓僵尸	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_B2	0		7		在[TXT]出现了僵尸小僵，他在不断得吸收人们的精血，速速去击杀该僵尸，在7天之内完成任务。	任务失败了。	
3012	抓旱魃	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_B3	0		7		在[TXT]出现了旱魃小皮，它所带来的干旱热死了大量的人们，速速去击杀该旱魃，在7天之内完成任务。	任务失败了。	
3013	除邪魔	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_B4	0		7		在[TXT]出现了邪魔分身，它在不断击杀大量凡人和低修为的修行者，在7天之内完成任务。	任务失败了。	
3014	救水友	Place_HeYinCity|Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity		Secrets_B5	0		7		在[TXT]的老杨直播间的水友发出了危险信号请求救援，速去支援，在7天之内完成任务。	任务失败了。	
3015	杀蛟龙	Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_A1	0		5		在[TXT]有蛟龙出没。	任务失败了。	
3016	救神兽	Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_A2	0		5		在[TXT]有神兽受伤。	任务失败了。	
3017	斗魑魅	Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_A3	0		5		在[TXT]有魑魅魍魉四鬼之二魑魅出现。	任务失败了。	
