ItemName	Type
Item_LingStone	原料
Item_LingCrystal	原料
Item_SoulCrystalYou	原料
Item_SoulCrystalNing	原料
Item_SoulCrystalLing	原料
Item_BrownRock	原料
Item_GrayRock	原料
Item_Marble	原料
Item_Jade	原料
Item_JadeEssence	原料
Item_StoneEssence	原料
Item_SkyStone	原料
Item_ExtremeJade	原料
Item_IronRock	原料
Item_CopperRock	原料
Item_SilverRock	原料
Item_DarksteelRock	原料
Item_StarEssence	原料
Item_Wood	原料
Item_HardWood	原料
Item_ParasolWood	原料
Item_LingWood	原料
Item_BoarLeather	原料
Item_RabbitLeather	原料
Item_BearLeather	原料
Item_WolfLeather	原料
Item_FeiLeather	原料
Item_LuShuLeather	原料
Item_YaoLeather	原料
Item_YaoLeather1	原料
Item_CattleLeather	原料
Item_TigerLeather	原料
Item_SilverGrit	原料
Item_CopperGrit	原料
Item_Cinnabar	原料
Item_LingMuXueJie	原料
Item_EarthEssence	原料
Item_EarthEssence1	原料
Item_EarthEssence_1	原料
Item_EarthEssence1_1	原料
Item_LifeStream	原料
Item_Ginseng	原料
Item_GanodermaLucidum	原料
Item_RedGinseng	原料
Item_PurpleGanodermaLucidum	原料
Item_MonsterBlood	原料
Item_Mint	原料
Item_MagicHerb	原料
Item_Ginkgo	原料
Item_SnakeGallbladder	原料
Item_BearGallbladder	原料
Item_Healroot	原料
Item_Grass	原料
Item_Cotton	原料
Item_Shit	原料
Item_HorribleMeal	消耗
Item_HomeFood	消耗
Item_DeliciousFood	消耗
Item_DelicacyFood	消耗
Item_GuanyinMud	消耗
Item_Water	消耗
Item_DirtyWater	消耗
Item_Hemostatics	消耗
Item_SmallCycle	消耗
Item_Plaster	消耗
Item_StoneEssenceDrug	消耗
Item_Anodyne	消耗
Item_Laxative	消耗
Item_Fruit	消耗
Item_LingWater	消耗
Item_ZaoHuaYuLu	消耗
Item_Cake	消耗
Item_Jerky	消耗
Item_PreservedFruit	消耗
Item_Yao_BoarMeat	消耗
Item_Flour	消耗
Item_Pear	消耗
Item_Wheat	消耗
Item_CatMeat	消耗
Item_TigerMeat	消耗
Item_Mushroom	消耗
Item_Lotusroot	消耗
Item_BoarMeat	消耗
Item_FrogMeat	消耗
Item_TurtleMeat	消耗
Item_BearMeat	消耗
Item_Beef	消耗
Item_RabbitMeat	消耗
Item_ChickenMeat	消耗
Item_WolfMeat	消耗
Item_FishMeat	消耗
Item_SnakeMeat	消耗
Item_ChickenEgg	消耗
Item_SnakeEgg	消耗
Item_TurtleEgg	消耗
Item_Firecracker	消耗
Item_FirecrackerShit	消耗
Item_TurtleEgg	消耗
Item_Jiaozi	消耗
Item_ThunderAir	宝物
Item_XianBone	宝物
Item_XianBoneBall	宝物
Item_ZaoHuaYuZi	宝物
Item_BenYuan_None	宝物
Item_YuanHunLu	宝物
Item_XieHunLu	宝物
Item_YanDaoGuo	宝物
Item_QieDaoGuo	宝物
Item_XianDaoShenNian	宝物
Item_XianDaoXieNian	宝物
Item_WinterWarm	宝物
Item_SummerHerb	宝物
Item_God_ZhiNianJieJing	宝物
Item_BenYuan_Jin	宝物
Item_BenYuan_Mu	宝物
Item_BenYuan_Shui	宝物
Item_BenYuan_Huo	宝物
