ID	Unlock	TXT
10000及以上不参与随机 必须连续	该内容在几级解锁	内容
111	1	若想尽快站稳跟脚，还是需要早日规划田地，种植作物农田为好。
112	1	我把你当兄弟，你却想杀我？
113	1	你是不是想杀我？，我老杨怎会是浪得虚名
114	1	我在斗鱼直播，房间号是2814446，直播时间[color=#D06508]晚上8时至深夜[/color]
115	3	（愔嫕l）成功最好的方法，就是抢劫其他门派奇观。
116	2	想知道炼法台下面怎么压聚灵物吗？  二张办卡就行了。∑(っ °Д °;)っ
117	2	还有更多修炼冷知识等你来聊。群号[color=#D06508]642879821[/color]
118	2	what's a fuck?  炼气期为什么会有12万灵气，一架飞机带你上天。O(∩_∩)O
119	3	我太难了，我最近压力很大。
120	1	是男人就玩老杨加强。
121	2	我有很多至宝和神符可助道友渡过难关。
122	3	道友，向前冲，你的后面有我。
123	4	快了快了……快出来了
124	2	你们的眼神似乎不太友善，不是，你就真觉得火铜烧的死我呗？
125	3	不知袭击太一门之人到底从何而来，看来修行界要不太平了……（把其他门派都灭了就太平了）（愔嫕l）
126	-1	唉……别杀我好吗宝贝？
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
